TABLES
1, Main Table 
DKPTABLE
1,Larona, Hunter,Agony,4363,8533
1,Sandsten, Druid,Agony,3471,9451
1,Memphis, Warlock,Agony,3324,8928
1,Awsomenews, Priest,Agony,2924,6128
1,Klimpfan, Warlock,Agony,2710,6545
1,Bromona, Priest,Agony,2647,6070
1,Potatomasher, Warrior,Agony,2480,6831
1,Tuntun, Warlock,Agony,2178,7050
1,Pantheaa, Rogue,Agony,2173,5305
1,Stabzes, Rogue,Agony,2110,6284
1,Malthael, Priest,Agony,2068,3753
1,Kalven, Warrior,Agony,1846,7647
1,Salival, Rogue,Agony,1841,6469
1,Hurmelhej, Warrior,Agony,1800,6188
1,Filon, Shaman,Agony,1797,4900
1,Xzu, Mage,Agony,1777,4818
1,Lyingmist, Warrior,Agony,1713,2810
1,Felz, Rogue,Agony,1670,4123
1,Nerghul, Rogue,Agony,1616,5738
1,Tobitank, Warrior,Agony,1499,2720
1,Looz, Mage,Agony,1475,8195
1,Turbotigra, Druid,Agony,1445,3256
1,Species, Mage,Agony,1392,5365
1,Kelom, Mage,Agony,1376,5090
1,Spiru, Shaman,Agony,1337,3465
1,Jungeltroll, Shaman,Agony,1304,6221
1,Dorigen, Rogue,Agony,1269,2845
1,Cainer, Mage,Agony,1247,1940
1,Toriaz, Shaman,Agony,1243,6043
1,Lmory, Warrior,Agony,1162,4783
1,Tentto, Mage,Agony,1160,9301
1,Johnsens, Shaman,Agony,1159,2902
1,Wingsy, Warlock,Agony,1146,5118
1,Cadux, Warrior,Agony,1125,4645
1,Abmi, Hunter,Agony,1057,3610
1,Bigboned, Hunter,Agony,891,6362
1,Nakz, Rogue,Agony,889,6321
1,Arkemea, Warlock,Agony,660,7127
1,Forvrangd, Priest,Agony,650,3470
1,Delthar, Shaman,Agony,630,3635
1,Deva, Warrior,Agony,569,4347
1,Saitamac, Priest,Agony,524,1625
1,Easylife, Warrior,Agony,510,1840
1,Proljev, Warrior,Agony,496,1490
1,Thobbe, Rogue,Agony,469,1940
1,Carbuncle, Hunter,Agony,436,1718
1,Itsbait, Shaman,Agony,413,2168
1,Injection, Mage,Agony,400,6103
1,Orthoron, Warlock,Agony,363,9166
1,Knutisfix, Druid,Agony,356,3650
1,Tzui, Warrior,Agony,332,2280
1,Worstlock, Warlock,Agony,293,1151
1,Veps, Warrior,Agony,289,1295
1,Pruzer, Warrior,Agony,288,1120
1,Xaa, Priest,Agony,280,3055
1,Lazyspawn, Druid,Agony,248,3145
1,Trestugaar, Mage,Agony,190,9806
1,Roxigar, Shaman,Agony,134,4319
1,Presso, Warrior,Agony,111,2270
1,Quis, Shaman,Agony,81,1640
1,Gnommynator, Warlock,Agony,77,513
1,Kylsten, Mage,Agony,60,60
1,Oron, Warrior,Agony,60,60
1,Nobody, Mage,Agony,40,6888
1,Zahnet, Hunter,Unknown,25,25
1,Lubbo, Priest,Agony,5,5
1,Sesshomarou, Shaman,Agony,-22,448
1,Julosch, Warrior,Agony,-22,1086
1,Emira, Hunter,Agony,-50,766
1,Rerayne, Shaman,Agony,-70,662
1,Belcor, Rogue,Agony,-96,400
POINTHISTORY
1,547.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:15,Bigboned,0
1,1052.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:20,Deva,0
1,1157.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:21,Wingsy,0
1,35.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:24,Stabzes,0
1,1882.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:26,Awsomenews,0
1,2138.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:45,Toriaz,0
1,2363.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:45,Lazyspawn,0
1,292.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:46,Arkemea,0
1,932.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:46,Kalven,0
1,3448.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:47,Injection,0
1,2483.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:48,Nobody,0
1,588.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:48,Lmory,0
1,2276.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:49,Orthoron,0
1,2881.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:49,Trestugaar,0
1,2856.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:49,Tentto,0
1,1568.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:50,Hurmelhej,0
1,2986.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:52,Sandsten,0
1,694.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:52,Salival,0
1,1801.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:53,Potatomasher,0
1,1831.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:53,Jungeltroll,0
1,388.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:54,Nerghul,0
1,2843.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:55,Memphis,0
1,1084.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:56,Nakz,0
1,2548.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:59,Larona,0
1,1479.00,Backup Restore,0,WebDKP,agonykronosdkp,2016-08-23 10:45:59,Roxigar,0
1,-150.00,Qiraji Bindings of Command,1,Ahn'Qiraj,Larona,2016-08-24 21:47:07,Deva,0
1,-222.00,Qiraji Bindings of Dominance,1,Ahn'Qiraj,Larona,2016-08-24 20:00:36,Tentto,0
1,-410.00,Vek'nilash's Circlet,1,Ahn'Qiraj,Larona,2016-08-24 20:20:18,Wingsy,0
1,-30.00,Ring of the Qiraji Fury,1,Orgrimmar,Larona,2016-08-24 21:50:33,Deva,0
1,10.00,Fankriss + Huhuran,0,Ahn'Qiraj,Larona,2016-08-24 19:59:27,Toriaz|Potatomasher|Bigboned|Sandsten|Kalven|Memphis|Injection|Lmory|Orthoron|Nakz|Trestugaar|Hurmelhej|Salival|Larona|Deva|Jungeltroll|Roxigar|Tentto|Wingsy|Arkemea|Awsomenews,0
1,-80.00,Ring of the Devoured,1,Ahn'Qiraj,Larona,2016-08-24 19:31:42,Jungeltroll,0
1,5.00,Onyxia's Lair: Onyxia,0,Onyxia's Lair,Larona,2016-08-24 22:05:04,Potatomasher|Jungeltroll|Kalven|Awsomenews|Injection|Nerghul|Lmory|Orthoron|Larona|Hurmelhej|Memphis|Deva|Trestugaar|Wingsy|Arkemea|Tentto|Salival,0
